Ticker,Name
LROD,LIGHTNING ROD SOFTWARE INC
3MGXI,MICROGRAFX INC
FLKKF,FRANKLY INC
TSSW,TOUCHSTONE SOFTWARE CORP
SECU,SECURAC CORP
MAPX.1,MAPICS INC
DODV,DIGITAL ORIGIN INC
RDFY,REDIFY GROUP INC
CDRBQ,CODE REBEL CORP
SMRL,SIMTROL INC
FSTP,FRONTSTEP INC
EVH,EVOLENT HEALTH INC
PLAT,PLATINUM TECHNOLOGY INTL INC
ROSS,ROSS SYSTEMS INC
TTCM,TAUTACHROME INC
3QDEK,QUARTERDECK CORP
3TCSI,TCSI CORP
PRGS,PROGRESS SOFTWARE CORP
SY.3,SYBASE INC
THQIQ,THQ INC
ISGN,ISIGN SOLUTIONS INC
AECC,AMERICAN EDUCATION CORP
VRCC,VERTICAL COMMUNICATIONS INC
RPD,RAPID7 INC
HYSW,HYPERION SOFTWARE CORP
ABQQ,AB INTERNATIONAL GROUP CP
RDAG,RED ALERT GROUP INC
HYDN,VERTEL CORP
INOW,INFONOW CORP
TLYN,TELYNX INC
MJCO,MAJESCO
SNPS,SYNOPSYS INC
3ELVN.,ELEVON INC
STEL.,STELLENT INC
